[20-Jul-2018 13:43:32 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:44:04 Europe/Berlin] PHP Fatal error:  Cannot redeclare main() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:31) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 38
[20-Jul-2018 13:44:22 Europe/Berlin] PHP Fatal error:  Cannot redeclare main() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:31) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 38
[20-Jul-2018 13:45:19 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:05 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:11 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:11 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:12 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:12 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:49:59 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:00 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:04 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:04 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:05 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:28 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:28 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:29 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:29 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:30 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:50:30 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:51:12 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:51:21 Europe/Berlin] PHP Fatal error:  Cannot redeclare del_cookie() (previously declared in /home/peter/Adathalom/public_html/minicms/lib/main.php:79) in /home/peter/Adathalom/public_html/minicms/lib/main.php on line 79
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Notice:  Undefined variable: SYS_PLUGINS_DIR in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Warning:  include(/pager/pager.css): failed to open stream: No such file or directory in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Warning:  include(): Failed opening '/pager/pager.css' for inclusion (include_path='.:/usr/share/php') in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Notice:  Undefined variable: PAGENAME in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 9
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Notice:  Undefined variable: SYS_PLUGINS_DIR in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 20
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Warning:  include(/pager/pager.js): failed to open stream: No such file or directory in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 20
[20-Jul-2018 13:53:14 Europe/Berlin] PHP Warning:  include(): Failed opening '/pager/pager.js' for inclusion (include_path='.:/usr/share/php') in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 20
[20-Jul-2018 13:57:44 Europe/Berlin] PHP Notice:  Undefined variable: SYS_PLUGINS_DIR in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
[20-Jul-2018 13:57:44 Europe/Berlin] PHP Warning:  include(/pager/pager.css): failed to open stream: No such file or directory in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
[20-Jul-2018 13:57:44 Europe/Berlin] PHP Warning:  include(): Failed opening '/pager/pager.css' for inclusion (include_path='.:/usr/share/php') in /home/peter/Adathalom/public_html/minicms/plugins/pager/pager.php on line 7
